used,pack,easting,northing,elevation,deerwin
1,Bow valley,588900,5670800,1402,5
1,Bow valley,567700,5686600,1498,4
1,Bow valley,587500,5672700,1402,5
1,Bow valley,588100,5671500,1402,5
1,Bow valley,558477,5697212,1587,4
1,Bow valley,586000,5674300,1402,5
1,Bow valley,578950,5679200,1433,4
1,Bow valley,588150,5671250,1402,5
1,Bow valley,588155,5672074,1405,5
1,Bow valley,584800,5675700,1404,6
1,Bow valley,584800,5674850,1402,5
1,Bow valley,584600,5674800,1402,5
1,Bow valley,582400,5675950,1428,5
1,Bow valley,568250,5685100,1476,4
1,Bow valley,590500,5669600,1406,5
1,Bow valley,585190,5674900,1402,5
1,Bow valley,585750,5676250,1536,5
1,Bow valley,585150,5676250,1435,6
1,Bow valley,587350,5671500,1403,4
1,Bow valley,569250,5684250,1485,4
1,Bow valley,577000,5679350,1433,3
1,Bow valley,587580,5673950,1503,6
1,Bow valley,577500,5679200,1433,4
1,Bow valley,588050,5673130,1494,6
1,Bow valley,586500,5673200,1402,5
1,Bow valley,582700,5676600,1458,6
1,Bow valley,585440,5674890,1402,6
1,Bow valley,586100,5677050,1949,4
1,Bow valley,585150,5676700,1499,4
1,Bow valley,587700,5671860,1402,5
1,Bow valley,584100,5675400,1402,5
1,Bow valley,575500,5680500,1459,4
1,Bow valley,582200,5676400,1432,5
1,Bow valley,582900,5676100,1437,6
1,Bow valley,588200,5673100,1543,6
1,Bow valley,582200,5675850,1420,5
1,Bow valley,584900,5675850,1410,6
1,Bow valley,584800,5676200,1422,6
1,Bow valley,586800,5672050,1402,4
1,Bow valley,584800,5676050,1415,6
1,Bow valley,589400,5669300,1402,5
1,Bow valley,578850,5679350,1446,4
1,Bow valley,577200,5678950,1433,3
1,Bow valley,573450,5681500,1440,4
1,Bow valley,582400,5675900,1426,5
1,Bow valley,582150,5676100,1430,5
1,Bow valley,583600,5676400,1434,6
1,Bow valley,585600,5675800,1447,5
1,Bow valley,584800,5676370,1465,6
1,Bow valley,580000,5677300,1420,5
1,Bow valley,585200,5676000,1420,6
1,Bow valley,574300,5681150,1443,3
1,Bow valley,579600,5678400,1432,5
1,Bow valley,585400,5676300,1472,5
1,Bow valley,582450,5675700,1419,5
1,Bow valley,583900,5675600,1419,6
1,Bow valley,585400,5674600,1402,5
1,Bow valley,579051,5678956,1433,4
1,Bow valley,573600,5681700,1441,4
1,Bow valley,582950,5676250,1443,6
1,Bow valley,584300,5675500,1402,6
1,Bow valley,582300,5676700,1450,6
1,Bow valley,584800,5676500,1505,6
1,Bow valley,584800,5676850,1537,4
1,Bow valley,585560,5675200,1417,5
1,Bow valley,584100,5677000,1563,6
1,Bow valley,584890,5675900,1411,6
